id,year,title,doi,reason
PPR1111859,2025,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma,10.21203/rs.3.rs-7660411/v1,preprint
PPR1215029,2026,Menin maintains enhancer-promoter interactions in a leukemia-specific manner,10.64898/2026.01.16.698179,preprint
PPR921604,2024,Integrative Proximal-Ubiquitomics Profiling for Deubiquitinase and E3 Ligase Substrate Discovery Applied to USP30,10.1101/2024.10.07.616967,preprint
39971772,2025,Tracking E2-specific substrates.,10.1038/s41589-025-01848-w,no usable English abstract
PPR926374,2024,Altered Hormone and Bioactive Lipid Plasma Profile in Rodent Models of Polycystic Ovarian Syndrome Revealed by Targeted Mass Spectrometry,10.1101/2024.10.14.618228,preprint
PPR1226336,2026,Urine Recirculation During Normothermic Kidney Preservation Improves Energy Balance Involving the Urea and TCA Cycles,10.64898/2026.01.12.698950,preprint
PPR1218316,2026,Refined USP25/28 inhibitors with enhanced selectivity towards c-Myc driven squamous lung cancer cells,10.64898/2026.03.17.712179,preprint
PPR920574,2024,Identification of a new Plasmodium falciparum E2 ubiquitin conjugating enzyme,10.1101/2024.10.06.616869,preprint
PPR718078,2023,Targeted Mass Spectrometry Reveals Interferon-Dependent Eicosanoid and Fatty Acid Alterations in Chronic Myeloid Leukaemia,10.20944/preprints202307.1356.v2,preprint
PPR685446,2023,Exome-wide evidence of compound heterozygous effects across common phenotypes in the UK Biobank,10.1101/2023.06.29.23291992,preprint
PPR965625,2025,The developmental environment mediates adult seminal proteome allocation in male Drosophila melanogaster,10.1101/2025.01.09.632097,preprint
PPR635428,2023,Human USP18 protects diverse cancer lineages from Type I Interferon independently of its canonical catalytic function,10.1101/2023.03.23.533924,preprint
PPR997995,2025,The ubiquitin E3 ligase Huwe1 facilitates viral and self RNA sensing by RIG-I-like receptors,10.1101/2025.03.27.645708,preprint
33495366,2021,DUB esterase activity further decodes ubiquitin's enigma.,10.1073/pnas.2026389118,"excluded publication type: article-commentary, comment"
PPR472034,2022,Targeted delivery of galunisertib attenuates fibrogenesis in an integrated ex vivo renal transplant and fibrosis model,10.1101/2022.03.22.485255,preprint
PPR907401,2024,USP24 is an ISG15 cross-reactive deubiquitinase that mediates IFN-I production by de-ISGylating the RNA helicase MOV10,10.1101/2024.09.06.611391,preprint
PPR444622,2022,Ubiquitinome analysis of articular cartilage post mechanical injury reveals a differential ubiquitination pattern of a subset of DUBs and proteins linked to the ERAD cellular response,10.1101/2022.01.19.476879,preprint
