term,documentFrequency,termFrequency,score,sourceIds
mass spectrometry,81,109,550.347685,BK0002;BK0005;BK0006;BK0008;BK0013;BK0016;BK0018;BK0023
gene expression,23,34,118.908275,BK0055;BK0061;BK0068;BK0084;BK0105;BK0127;BK0156;BK0175
cancer cells,21,34,108.568425,BK0019;BK0036;BK0048;BK0059;BK0065;BK0077;BK0095;BK0113
dna damage,19,35,98.979614,BK0004;BK0036;BK0069;BK0142;BK0157;BK0158;BK0179;BK0201
liquid chromatography,21,22,96.284213,BK0038;BK0051;BK0082;BK0093;BK0109;BK0120;BK0122;BK0125
tandem mass spectrometry,18,18,89.463912,BK0038;BK0051;BK0088;BK0093;BK0122;BK0125;BK0132;BK0149
ubiquitin ligase,18,28,88.324031,BK0004;BK0007;BK0026;BK0033;BK0041;BK0048;BK0073;BK0107
tandem mass,18,19,79.061714,BK0038;BK0051;BK0088;BK0093;BK0122;BK0125;BK0132;BK0149
poorly understood,18,18,77.794706,BK0005;BK0011;BK0026;BK0029;BK0065;BK0084;BK0095;BK0127
cancer cell,15,19,65.884761,BK0095;BK0103;BK0113;BK0123;BK0191;BK0192;BK0201;BK0202
proteins involved,15,17,63.718913,BK0044;BK0055;BK0070;BK0079;BK0100;BK0112;BK0153;BK0169
amino acid,13,22,59.604513,BK0001;BK0023;BK0088;BK0091;BK0096;BK0134;BK0174;BK0185
dna repair,12,20,53.513179,BK0069;BK0152;BK0158;BK0178;BK0179;BK0216;BK0265;BK0269
immune responses,13,15,53.137017,BK0058;BK0061;BK0066;BK0151;BK0240;BK0259;BK0260;BK0289
endoplasmic reticulum,12,17,50.97513,BK0027;BK0053;BK0055;BK0079;BK0085;BK0117;BK0218;BK0228
extracellular matrix,12,15,49.049554,BK0011;BK0039;BK0052;BK0113;BK0123;BK0181;BK0209;BK0242
cell line,12,14,48.0,BK0030;BK0042;BK0062;BK0092;BK0095;BK0125;BK0159;BK0212
quantitative proteomics,12,14,48.0,BK0018;BK0029;BK0031;BK0039;BK0088;BK0098;BK0106;BK0114
dna replication,11,18,47.541209,BK0024;BK0071;BK0090;BK0099;BK0107;BK0178;BK0179;BK0184
cellular processes,12,13,46.882687,BK0004;BK0094;BK0096;BK0109;BK0150;BK0157;BK0197;BK0205
enzymes dubs,12,12,45.688259,BK0009;BK0028;BK0045;BK0046;BK0087;BK0103;BK0179;BK0256
highly conserved,12,12,45.688259,BK0096;BK0110;BK0143;BK0215;BK0223;BK0225;BK0226;BK0246
human cells,11,15,44.962091,BK0031;BK0152;BK0153;BK0165;BK0176;BK0177;BK0202;BK0212
cell cycle,10,18,43.219281,BK0004;BK0019;BK0026;BK0107;BK0146;BK0152;BK0179;BK0280
deubiquitylating enzyme,11,12,41.880904,BK0042;BK0056;BK0062;BK0118;BK0142;BK0216;BK0251;BK0272
small molecule,11,12,41.880904,BK0002;BK0046;BK0056;BK0076;BK0156;BK0157;BK0251;BK0256
factor hif,11,11,40.704837,BK0268;BK0273;BK0277;BK0279;BK0286;BK0287;BK0288;BK0315
amyotrophic lateral sclerosis,9,13,40.436318,BK0020;BK0027;BK0057;BK0063;BK0068;BK0079;BK0082;BK0122
amino acids,10,14,40.0,BK0001;BK0002;BK0008;BK0166;BK0174;BK0202;BK0243;BK0316
cell lines,10,14,40.0,BK0050;BK0113;BK0125;BK0201;BK0229;BK0244;BK0322;BK0342
deubiquitylating enzymes,10,14,40.0,BK0009;BK0042;BK0046;BK0103;BK0179;BK0256;BK0272;BK0304
deubiquitinating enzyme,10,13,39.068906,BK0025;BK0147;BK0227;BK0234;BK0258;BK0301;BK0306;BK0317
deubiquitinating enzymes,10,12,38.073549,BK0028;BK0045;BK0087;BK0103;BK0211;BK0258;BK0285;BK0338
lateral sclerosis,9,14,36.0,BK0020;BK0027;BK0057;BK0063;BK0068;BK0079;BK0082;BK0122
tumor suppressor,9,14,36.0,BK0024;BK0155;BK0162;BK0192;BK0261;BK0287;BK0301;BK0328
chromatography tandem mass,9,9,35.805117,BK0038;BK0051;BK0093;BK0122;BK0125;BK0132;BK0149;BK0176
liquid chromatography tandem,9,9,35.805117,BK0038;BK0051;BK0093;BK0122;BK0125;BK0132;BK0149;BK0176
amyotrophic lateral,9,13,35.162015,BK0020;BK0027;BK0057;BK0063;BK0068;BK0079;BK0082;BK0122
cysteine residues,9,13,35.162015,BK0105;BK0133;BK0141;BK0216;BK0229;BK0237;BK0271;BK0287
active site,9,11,33.303957,BK0018;BK0042;BK0090;BK0258;BK0275;BK0317;BK0327;BK0338
histocompatibility complex,9,11,33.303957,BK0053;BK0218;BK0275;BK0325;BK0326;BK0341;BK0357;BK0364
cell responses,8,15,32.699703,BK0040;BK0066;BK0080;BK0125;BK0260;BK0322;BK0333;BK0371
biological processes,9,10,32.264663,BK0105;BK0141;BK0152;BK0209;BK0248;BK0249;BK0285;BK0295
rheumatoid arthritis,8,13,31.255125,BK0123;BK0151;BK0172;BK0181;BK0206;BK0255;BK0311;BK0312
chromatography tandem,9,9,31.134885,BK0038;BK0051;BK0093;BK0122;BK0125;BK0132;BK0149;BK0176
seminal fluid,7,18,30.253497,BK0021;BK0064;BK0086;BK0098;BK0106;BK0114;BK0242
innate immune,8,11,29.603518,BK0009;BK0062;BK0085;BK0097;BK0163;BK0170;BK0259;BK0298
protein expression,8,11,29.603518,BK0005;BK0039;BK0100;BK0124;BK0214;BK0267;BK0310;BK0312
stem cells,8,11,29.603518,BK0084;BK0127;BK0167;BK0180;BK0190;BK0231;BK0246;BK0261
ubiquitin chains,8,11,29.603518,BK0073;BK0091;BK0115;BK0177;BK0179;BK0193;BK0194;BK0317
transcription factor,8,10,28.6797,BK0084;BK0107;BK0133;BK0223;BK0288;BK0316;BK0326;BK0334
embryonic stem cells,7,9,27.848425,BK0084;BK0127;BK0167;BK0180;BK0190;BK0231;BK0246
posttranslational modification,8,8,26.575425,BK0026;BK0073;BK0141;BK0152;BK0187;BK0226;BK0234;BK0273
remains unclear,8,8,26.575425,BK0086;BK0097;BK0110;BK0168;BK0175;BK0220;BK0240;BK0266
antigen processing,7,11,25.903078,BK0040;BK0053;BK0215;BK0289;BK0325;BK0349;BK0361
lateral sclerosis als,7,7,25.517896,BK0020;BK0027;BK0057;BK0063;BK0079;BK0082;BK0122
cerebrospinal fluid,7,10,25.094738,BK0027;BK0038;BK0082;BK0093;BK0122;BK0145;BK0171
peripheral blood,7,10,25.094738,BK0050;BK0155;BK0164;BK0259;BK0260;BK0312;BK0333
target genes,7,10,25.094738,BK0077;BK0162;BK0165;BK0167;BK0190;BK0252;BK0328
