corpusId,year,title,journal,doi,pmid,source
BK0001,2026,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,Nature communications,10.1038/s41467-026-69421-0,41698924,MED
BK0002,2026,Analytical challenges for mapping non-canonical and non-protein ubiquitin/Ubl modifications by mass spectrometry.,Expert review of proteomics,10.1080/14789450.2026.2624128,41601186,MED
BK0003,2026,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma.,Communications medicine,10.1038/s43856-026-01701-8,42249069,MED
BK0004,2026,Pervasive phenotypic effects of FBXO42 are promoted by regulation of PP4 phosphatase.,The EMBO journal,10.1038/s44318-025-00675-y,41484364,MED
BK0005,2026,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,Cell communication and signaling : CCS,10.1186/s12964-026-02720-7,41723523,MED
BK0006,2026,Towards light-coupled sample preparation for time-resolved cryoEM studies.,IUCrJ,10.1107/s2052252526005324,42366972,MED
BK0007,2026,Ubiquitin E3 ligase KLHL6 brings exhausted T-cells back into action.,Immunity & inflammation,10.1007/s44466-026-00032-6,41797878,MED
BK0008,2026,Urine Recirculation During Normothermic Kidney Preservation Improves Energy Balance Involving the Urea and Citric Acid Cycles.,Transplantation direct,10.1097/txd.0000000000001947,42110833,MED
BK0009,2026,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,Nature communications,10.1038/s41467-026-74490-2,42321163,MED
BK0010,2025,A cytoplasmic motif in HLA-E that drives clathrin-mediated endocytosis and VCP-associated postendocytic trafficking.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2514956122,41134633,MED
BK0011,2025,A systems-based approach to uterine fibroids identifies differential splicing associated with abnormal uterine bleeding.,Communications medicine,10.1038/s43856-025-01051-x,40739398,MED
BK0012,2025,Activity-based protein profiling reveals both canonical and novel ubiquitin pathway enzymes in Plasmodium.,PLoS pathogens,10.1371/journal.ppat.1013032,40249735,MED
BK0013,2025,Driving Therapeutic Innovation in Neurodegenerative Disease With Hydrogen Deuterium eXchange Mass Spectrometry.,Molecular & cellular proteomics : MCP,10.1016/j.mcpro.2025.101017,40544994,MED
