term,documentFrequency,termFrequency,documentShare,score,sourceIds
protein,198,371,0.530831,1691.5203,BK0001;BK0002;BK0003;BK0004;BK0005;BK0006;BK0007;BK0009
proteins,165,356,0.442359,1399.829603,BK0002;BK0004;BK0005;BK0009;BK0013;BK0014;BK0016;BK0019
cells,158,381,0.423592,1355.829692,BK0002;BK0007;BK0009;BK0010;BK0015;BK0018;BK0019;BK0024
cell,147,274,0.394102,1191.953095,BK0002;BK0003;BK0004;BK0010;BK0016;BK0017;BK0019;BK0020
activity,105,159,0.281501,769.746272,BK0004;BK0012;BK0019;BK0022;BK0023;BK0033;BK0041;BK0048
mass,99,148,0.265416,715.65305,BK0002;BK0005;BK0006;BK0008;BK0013;BK0016;BK0018;BK0020
human,95,164,0.254692,700.628746,BK0008;BK0010;BK0012;BK0013;BK0017;BK0027;BK0028;BK0029
cellular,91,126,0.243968,637.0,BK0004;BK0006;BK0008;BK0010;BK0016;BK0025;BK0031;BK0034
complex,86,138,0.230563,613.118339,BK0001;BK0004;BK0010;BK0011;BK0014;BK0018;BK0024;BK0025
expression,85,146,0.227882,612.803536,BK0005;BK0009;BK0010;BK0011;BK0014;BK0016;BK0017;BK0028
spectrometry,81,109,0.217158,550.347685,BK0002;BK0005;BK0006;BK0008;BK0013;BK0016;BK0018;BK0023
function,80,99,0.214477,532.656919,BK0001;BK0002;BK0004;BK0006;BK0007;BK0008;BK0011;BK0013
ubiquitin,71,152,0.190349,515.941844,BK0002;BK0004;BK0007;BK0012;BK0018;BK0025;BK0026;BK0027
response,71,112,0.190349,485.135191,BK0003;BK0004;BK0009;BK0014;BK0038;BK0043;BK0045;BK0052
cancer,64,161,0.171582,470.318602,BK0003;BK0007;BK0019;BK0025;BK0029;BK0031;BK0034;BK0036
binding,64,120,0.171582,443.56719,BK0001;BK0006;BK0012;BK0018;BK0022;BK0025;BK0041;BK0042
target,66,96,0.176944,436.57085,BK0009;BK0012;BK0017;BK0019;BK0034;BK0042;BK0046;BK0047
increased,67,88,0.179625,434.954157,BK0002;BK0005;BK0009;BK0015;BK0020;BK0023;BK0028;BK0034
proteomic,65,95,0.174263,428.994335,BK0002;BK0003;BK0005;BK0009;BK0011;BK0014;BK0020;BK0027
potential,67,78,0.179625,423.569182,BK0005;BK0009;BK0012;BK0024;BK0033;BK0043;BK0045;BK0047
gene,63,102,0.168901,422.127702,BK0009;BK0016;BK0017;BK0045;BK0055;BK0058;BK0059;BK0061
development,61,75,0.163539,382.273979,BK0011;BK0012;BK0013;BK0014;BK0019;BK0020;BK0022;BK0038
disease,57,100,0.152815,380.328244,BK0005;BK0013;BK0015;BK0018;BK0020;BK0025;BK0027;BK0037
activation,57,99,0.152815,379.518055,BK0009;BK0014;BK0019;BK0040;BK0047;BK0054;BK0055;BK0059
dna,52,150,0.13941,376.892231,BK0004;BK0011;BK0020;BK0024;BK0026;BK0033;BK0036;BK0069
involved,60,72,0.160858,372.567202,BK0011;BK0014;BK0043;BK0044;BK0054;BK0055;BK0058;BK0060
proteomics,56,81,0.150134,357.002208,BK0003;BK0005;BK0018;BK0027;BK0029;BK0031;BK0037;BK0038
inhibition,54,94,0.144772,355.587975,BK0007;BK0018;BK0022;BK0041;BK0042;BK0047;BK0050;BK0069
molecular,54,76,0.144772,339.41172,BK0003;BK0005;BK0011;BK0014;BK0016;BK0018;BK0022;BK0028
patients,49,119,0.131367,339.024299,BK0003;BK0011;BK0023;BK0034;BK0037;BK0038;BK0050;BK0051
control,55,69,0.147453,338.236092,BK0003;BK0026;BK0032;BK0034;BK0049;BK0052;BK0063;BK0068
key,56,63,0.150134,337.252598,BK0001;BK0004;BK0007;BK0011;BK0013;BK0017;BK0023;BK0028
enzymes,53,79,0.142091,336.01205,BK0009;BK0012;BK0028;BK0042;BK0044;BK0045;BK0046;BK0054
regulation,54,72,0.144772,335.310482,BK0004;BK0014;BK0029;BK0044;BK0067;BK0073;BK0077;BK0084
enzyme,53,78,0.142091,335.062189,BK0012;BK0018;BK0025;BK0042;BK0046;BK0056;BK0058;BK0062
specific,54,67,0.144772,329.860321,BK0009;BK0018;BK0034;BK0035;BK0046;BK0047;BK0063;BK0065
pathways,52,73,0.13941,323.898572,BK0002;BK0010;BK0011;BK0013;BK0014;BK0016;BK0020;BK0026
factor,50,82,0.134048,319.615871,BK0008;BK0047;BK0055;BK0061;BK0064;BK0084;BK0095;BK0098
mechanism,52,64,0.13941,314.308494,BK0011;BK0022;BK0048;BK0050;BK0060;BK0077;BK0087;BK0094
mechanisms,51,59,0.136729,302.467604,BK0005;BK0010;BK0011;BK0013;BK0019;BK0021;BK0024;BK0026
pathway,50,62,0.134048,300.0,BK0006;BK0012;BK0023;BK0032;BK0055;BK0061;BK0065;BK0069
changes,47,74,0.126005,293.652593,BK0005;BK0006;BK0014;BK0023;BK0043;BK0052;BK0057;BK0063
domain,45,74,0.120643,281.156738,BK0001;BK0017;BK0041;BK0048;BK0060;BK0073;BK0085;BK0107
